trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999974938749608}",30,0,-119.45786617045266,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999899755124045}",20,0,-53.84996316761335,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.999977444950015}",20,0,-177.1222435848057,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9999599022505986}",20,9,-53.58259192636656,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9999373475020839}",30,0,-80.14515376579863,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9999097808175206}",30,0,-144.64613259697813,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9998772023350799}",20,0,-106.34044159651754,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9998396122180536}",20,0,-119.25621644338003,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9997970106548525}",30,0,-145.19721272757192,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9997493978590063}",30,0,-180.76337944182202,"{0: 13, 1: 5, 2: 10, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9996967740691622}",20,0,-129.41030345402868,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.999639139549084}",30,0,-79.9746686480882,"{0: 17, 1: 7, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9995764945876502}",30,0,-170.35741897501956,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9995088394988529}",20,0,-138.23284319617366,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9994361746217966}",20,0,-92.01893201883179,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9993585003206955}",20,0,-163.73362427416754,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9992758169848729}",20,0,-81.4481672014149,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9991881250287583}",25,15,-85.19540247209167,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.9990954248918855}",30,0,-179.97548875528614,"{0: 15, 1: 7, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9989977170388912}",20,0,-51.81183238431475,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9988950019595111}",20,0,-30.854569823236282,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9987872801685792}",20,0,-43.317199482659376,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9986745522060239}",20,0,-107.06201545765123,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.998556818636866}",20,4,-18.398497402027175,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.9984340800512156}",20,0,-107.58559366108997,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9983063370642692}",20,0,-89.72519301093116,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9981735903163065}",25,0,-92.9771451038864,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9980358404726875}",30,0,-212.02585601821224,"{0: 13, 1: 5, 2: 8, 3: 2, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9978930882238488}",20,0,-207.48741177478894,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.9977453342853003}",30,0,-128.4172919144379,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9975925793976219}",20,0,-209.34484053670616,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.9974348243264592}",25,0,-150.33471070471953,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.99727206986252}",25,12,-37.95935949555296,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.9971043168215705}",20,0,-140.190774699826,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.9969315660444308}",20,2,-151.6665642230642,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 3}",1
36,False,"{'a': 0.5, 'e': 0.9967538183969709}",30,0,-228.09859648378207,"{0: 14, 1: 8, 2: 4, 3: 0, 4: 4}",0
37,False,"{'a': 0.5, 'e': 0.9965710747701066}",20,0,-37.82584262744062,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.9963833360797948}",20,2,-24.49462913588094,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.9961906032670285}",20,0,-153.9766731240821,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9959928772978327}",25,0,-194.44221136723144,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
41,False,"{'a': 0.5, 'e': 0.9957901591632597}",30,0,-42.615870384361095,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.9955824498793834}",25,0,-217.18356551701285,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
43,False,"{'a': 0.5, 'e': 0.9953697504872945}",20,0,-110.68439171118213,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9951520620530957}",20,9,-40.018748440554326,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.9949293856678959}",25,0,-153.07234401836683,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9947017224478047}",20,0,-44.9549407362558,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9944690735339272}",25,0,-69.25073784323149,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9942314400923579}",20,9,-59.17635908263713,"{0: 6, 1: 0, 2: 3, 3: 2, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.9939888233141749}",20,0,-108.77616567542852,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.9937412244154344}",20,0,-63.526201579881466,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.9934886446371639}",20,0,-127.93591462591209,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9932310852453564}",20,0,-138.53634519531235,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.992968547530964}",25,0,-116.52565861055723,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9927010328098913}",30,0,-113.75084724416173,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9924285424229891}",35,0,-164.86899382752284,"{0: 21, 1: 5, 2: 6, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9921510777360473}",25,0,-193.5554939281356,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.9918686401397884}",20,0,-125.24022619568157,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9915812310498601}",20,0,-144.03192847495237,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.9912888519068286}",30,0,-161.93300548641596,"{0: 17, 1: 6, 2: 3, 3: 2, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.9909915041761715}",25,0,-120.7314532225359,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9906891893482699}",25,0,-114.37409635455965,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9903819089384013}",20,0,-131.37170812584307,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.990069664486732}",20,0,-127.62455177150873,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.9897524575583091}",25,0,-66.4056710347245,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9894302897430532}",20,0,-85.92335772452147,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.98910316265575}",20,0,-91.81758413993485,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.9887710779360422}",30,0,-92.01600081246885,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9884340372484216}",25,0,-108.55417046015748,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.9880920422822201}",20,0,-25.390129702095322,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9877450947516023}",25,0,-95.28981251574413,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9873931963955559}",25,0,-199.97601774414318,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.9870363489778833}",20,0,-171.58294577025032,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.9866745542871932}",35,0,-242.34469894724594,"{0: 20, 1: 4, 2: 6, 3: 1, 4: 4}",0
74,False,"{'a': 0.5, 'e': 0.9863078141368911}",20,0,-48.329137100111154,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.98593613036517}",25,0,-60.83758488473811,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.9855595048350024}",20,0,-89.95204414532951,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.9851779394341293}",20,0,-129.34524221610855,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.984791436075052}",30,0,-195.02548722238927,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9843999966950221}",20,0,-73.38247427656036,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.9840036232560314}",20,0,-108.86976076496917,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.983602317744803}",20,0,-106.80414733912092,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9831960821727803}",30,0,-111.79059784289882,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.9827849185761177}",25,0,-195.71453867599584,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.9823688290156698}",25,0,-64.8325612787185,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9819478155769816}",20,0,-84.64740181559387,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.9815218803702779}",25,0,-116.58088440383717,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.9810910255304524}",30,0,-66.82664354606565,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.980655253217057}",25,0,-176.05386416166772,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
