trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.87202301211227,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.84724543224168,"{0: 9, 1: 6, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.92915987944993,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,1,-117.49276876134431,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.93205670479009,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.71769187796684,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.38635770185712,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.5092915936599,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.17630162523042,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.1219641322599,"{0: 8, 1: 1, 2: 11, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-252.4548299686122,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,19,0.5040128959753876,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-203.26844810591754,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.25506478221456,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.49818802033525,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.01339973298646,"{0: 8, 1: 5, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.73495992789704,"{0: 13, 1: 5, 2: 4, 3: 3, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.3267381964676,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-211.4006341528492,"{0: 12, 1: 1, 2: 14, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.53986452602588,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-108.9414683370788,"{0: 24, 1: 3, 2: 0, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-183.84417033581946,"{0: 19, 1: 4, 2: 1, 3: 3, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-206.89543744072952,"{0: 22, 1: 4, 2: 5, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-159.63504325525133,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.43190876913775,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-184.7739494399509,"{0: 12, 1: 7, 2: 8, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.9526262954223,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.8669284634743,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-263.58254573437625,"{0: 15, 1: 2, 2: 7, 3: 2, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-116.17672161143975,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
